id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
1693766,890bbd5a-d9b0-4ad0-b7f7-8bf099d97d82,Sat Sep 13 2008 13:14:41 GMT-0700 (PDT),2008-09-13,2008-09-13 20:14:41 UTC,Pacific Time (US & Canada),112167,sabellachan,"",2015-06-26 06:24:34 UTC,2016-09-12 05:13:22 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1693766,https://inaturalist-open-data.s3.amazonaws.com/photos/2050442/medium.jpg,,,,3,1,false,3,San Diego,32.758161,-117.287125,54541,,,,54541,,,false,,,Leopard Shark,Triakis semifasciata,Leopard Shark,Animalia,52297
4105909,4e8f4101-329e-4e19-8f5b-3ea5ed18cbd7,2016/09/13 5:31 PM HST,2016-09-13,2016-09-14 03:31:00 UTC,Hawaii,317669,alex_bairstow,Alex Bairstow,2016-09-14 04:55:04 UTC,2016-09-14 13:38:47 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/4105909,https://inaturalist-open-data.s3.amazonaws.com/photos/4878846/medium.jpg,,"","",2,0,false,,"San Diego County, CA, USA",32.8535017983,-117.262288928,8,,,,8,,,false,,,Leopard Shark,Triakis semifasciata,Leopard Shark,Animalia,52297
5484731,003bb838-39dc-4955-89a7-898d8b3e86a4,2013/08/25 10:05 AM PDT,2013-08-25,2013-08-25 17:05:00 UTC,Pacific Time (US & Canada),317669,alex_bairstow,Alex Bairstow,2017-03-28 03:05:03 UTC,2020-08-12 02:18:58 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/5484731,https://inaturalist-open-data.s3.amazonaws.com/photos/6755968/medium.jpeg,,"","",1,0,false,,"San Diego County, CA, USA",32.8520296398,-117.2620475292,31,,,,31,,open,false,,,Leopard Shark,Triakis semifasciata,Leopard Shark,Animalia,52297
5974438,5b0187cf-b3a8-4219-b0ae-298ed799e804,2008/11/16 2:15 PM MST,2008-11-16,2008-11-16 21:15:00 UTC,Mountain Time (US & Canada),457523,anthonywood,Tony Wood,2017-04-27 00:29:34 UTC,2017-04-27 11:46:00 UTC,research,CC0,https://www.inaturalist.org/observations/5974438,https://inaturalist-open-data.s3.amazonaws.com/photos/7467142/medium.jpeg,,San Diego Nov 2008,,2,0,false,,"La Jolla, San Diego, CA, USA",32.8577480806,-117.2572051132,557,,,,557,,,false,,,Leopard Shark,Triakis semifasciata,Leopard Shark,Animalia,52297
7343713,59eb577c-e137-4a72-96be-0c6fadc73163,2017/08/03 7:40 PM PDT,2017-08-03,2017-08-04 02:40:00 UTC,Pacific Time (US & Canada),522203,u_phantasticus,"",2017-08-04 05:14:46 UTC,2023-10-19 03:20:47 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7343713,https://inaturalist-open-data.s3.amazonaws.com/photos/9517984/medium.jpeg,,"",Fisherman caught and released it,3,0,false,,"Tamarack Surf Beach, Carlsbad, CA 92008, USA",33.1504687,-117.3483346,186,,,,186,,,false,,,Leopard Shark,Triakis semifasciata,Leopard Shark,Animalia,52297
7410786,f666223e-fd55-4f94-8b8b-f14b2a4b8998,2017/08/03 10:04 AM PDT,2017-08-03,2017-08-03 17:04:00 UTC,Pacific Time (US & Canada),541146,flower_prof,Teresa Finnern,2017-08-08 20:21:58 UTC,2018-02-09 17:51:08 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7410786,https://inaturalist-open-data.s3.amazonaws.com/photos/9625954/medium.jpeg,,"","Murky conditions, but lots of sharks",4,0,false,,"San Diego County, CA, USA",32.855195105,-117.2605588593,199,,,,199,,,false,,,Leopard Shark,Triakis semifasciata,Leopard Shark,Animalia,52297
7770183,0ce17978-88ea-485c-b149-f2977d5f346e,2017/08/19,2017-08-19,,Pacific Time (US & Canada),612306,flapflapglide,Mandy Mathews,2017-09-04 00:27:30 UTC,2017-09-04 03:11:28 UTC,research,,https://www.inaturalist.org/observations/7770183,https://static.inaturalist.org/photos/10207427/medium.jpeg,,"",,2,0,false,,"La Jolla Shores Beach, San Diego, CA 92037, USA",32.8570992,-117.2574626,1822,,,,1822,,,false,,,Leopard Shark,Triakis semifasciata,Leopard Shark,Animalia,52297
8095364,4223f016-5104-4612-9d49-0099133b28d8,2017/09/25 11:44 AM HST,2017-09-25,2017-09-25 21:44:00 UTC,Hawaii,550676,naturalistjill,"",2017-09-25 23:10:30 UTC,2026-04-18 06:42:00 UTC,research,,https://www.inaturalist.org/observations/8095364,https://static.inaturalist.org/photos/10737196/medium.jpeg,,"",,3,0,false,,"San Diego County, CA, USA",32.8535550622,-117.2650227246,385,,,,385,,open,false,,,Leopard Shark,Triakis semifasciata,Leopard Shark,Animalia,52297
8335839,8b474e35-a567-47c3-b7e8-e2d2093cc8d7,Fri Jul 15 2011 23:50:37 GMT-0400 (EDT),2011-07-15,2011-07-16 03:50:37 UTC,Eastern Time (US & Canada),663636,justincmiller,Justin Miller,2017-10-10 02:52:41 UTC,2023-10-19 03:20:04 UTC,research,CC-BY-NC-ND,https://www.inaturalist.org/observations/8335839,https://inaturalist-open-data.s3.amazonaws.com/photos/11076799/medium.jpg,,"","Caught and released, neonate.",4,0,false,3,"Oceanside, CA  92054, Oceanside, CA, US",33.1932679215,-117.3859637459,255,,,,255,,,false,,,Leopard Shark,Triakis semifasciata,Leopard Shark,Animalia,52297
8726395,4ff1db52-d65e-4ec3-9c50-3943ecb5ddeb,2017/11/03 3:59 PM PDT,2017-11-03,2017-11-03 22:59:00 UTC,Pacific Time (US & Canada),213838,vireolanius,Justyn Stahl,2017-11-08 00:51:50 UTC,2025-06-22 19:12:33 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/8726395,https://inaturalist-open-data.s3.amazonaws.com/photos/11706709/medium.jpg,,"",An Osprey eating a leopard shark?,4,0,false,,"Famosa Slough, San Diego, CA, USA",32.7519094911,-117.2292801926,31,,,,31,,,false,,,Leopard Shark,Triakis semifasciata,Leopard Shark,Animalia,52297
